wordToDisambiguate	sentence	sense1_pictoID_correct_arasaac	sense_pictoID_wsd_arasaac	sense_wolf_correct	sense_wolf_wsd_arasaac	synset_lemma_wsd_arasaac	url_wsd_arasaac	sense_wolf_wsd_sclera	synset_lemma_wsd_sclera	url_wsd_sclera	sense_wolf_wsd_beta	synset_lemma_wsd_beta	url_wsd_beta
cœur	nous allons écouter votre cœur	[2715]	[2715]	fre-30-05388805-n	fre-30-05388805-n	['c\x9cur', 'pompe', 'viscère']	<p> <img src="https://static.arasaac.org/pictograms/2715/2715_500.png" width="110"  heigth="110"> <p>	fre-30-03507048-n	['c\x9cur', 'carte', 'carte à jouer', 'Carte à jouer', 'cartes à jouer']	<p> <img src="http://webservices.ccl.kuleuven.be/picto/sclera//hart.png" width="110"  heigth="110"> <p>	fre-30-05388805-n	['c\x9cur', 'pompe', 'viscère']	<p> <img src="http://webservices.ccl.kuleuven.be/picto/beta//hart.png" width="110"  heigth="110"> <p>
vert	suivez la ligne verte	[4886, 4887]	[4886, 4887]	fre-30-00375969-a	fre-30-00375969-a	['verdâtre', 'vert']	<p> <img src="https://static.arasaac.org/pictograms/4886/4886_500.png" width="110"  heigth="110"> | <img src="https://static.arasaac.org/pictograms/4887/4887_500.png" width="110"  heigth="110"> <p>	fre-30-04967191-n	['émeraude', 'sarcelle', 'verdâtre', 'vert']	<p> <img src="http://webservices.ccl.kuleuven.be/picto/sclera//kleur-groen.png" width="110"  heigth="110"> <p>	fre-30-04967191-n	['émeraude', 'sarcelle', 'verdâtre', 'vert']	<p> <img src="http://webservices.ccl.kuleuven.be/picto/beta//groen.png" width="110"  heigth="110"> <p>
faire	je vais vous montrer comment faire l'injection d'insuline	[11749]	[11698, 11749]	fre-30-01619014-v_fre-30-01621555-v_fre-30-02560585-v	fre-30-01621555-v	['créer', 'effectuer', 'fabriquer', 'fonder', 'obtenir', 'produire', 'brûler', 'carrer', 'démontrer', 'deviner', 'donner', 'éditer', 'élever', 'engendrer', 'générer', 'imaginer', 'imprimer', 'offrir', 'présenter', 'prouver', 'publier', 'refaire', 'rendre', 'reproduire', 'rétorquer', 'retourner', 'revenir', 'trancher', 'trouver', 'constructeur', 'création', 'décideur', 'fabricant', 'facteur', 'fruit', 'genèse', 'marchand', 'marchandise', 'marque', 'prise', 'producteur', 'production', 'produit', 'réalisation', 'type']	<p> <img src="https://static.arasaac.org/pictograms/11698/11698_500.png" width="110"  heigth="110"> | <img src="https://static.arasaac.org/pictograms/11749/11749_500.png" width="110"  heigth="110"> <p>	fre-30-00341560-v	['aller', 'devenir', 'dire', 'partir', 'passer', 'procéder', 'arriver', 'avoir lieu', 'se dérouler', 'se passer', 'se produire', 'survenir', 'faire', 'faire traîner', 'venir']	<p> <img src="http://webservices.ccl.kuleuven.be/picto/sclera//wandelen.png" width="110"  heigth="110"> <p>	fre-30-00341560-v	['aller', 'devenir', 'dire', 'partir', 'passer', 'procéder', 'arriver', 'avoir lieu', 'se dérouler', 'se passer', 'se produire', 'survenir', 'faire', 'faire traîner', 'venir']	<p> <img src="http://webservices.ccl.kuleuven.be/picto/beta//gaan.png" width="110"  heigth="110"> <p>
examiner	êtes-vous d’accord que je vous examine ?	[20095, 20097, 27719, 28751, 28801, 31904]	[12349]	fre-30-02131279-v	fre-30-00813044-v	['concerner', 'considérer', 'délibérer', 'envisager', 'présenter', 'remettre', 'retourner', 'débattre', 'discuter', "s'entretenir sur", 'députer', 'voir', 'compte', 'considération', 'contrainte', 'examen']	<p> <img src="https://static.arasaac.org/pictograms/12349/12349_500.png" width="110"  heigth="110"> <p>	[]	None	<p>  <p>	[]	None	<p>  <p>
appliquer	avez-vous appliqué une crème sur la lésion ?	[5096, 29034, 35729, 36525, 36760, 37409, 37410]	[8095]	fre-30-01363648-v	fre-30-01165043-v	['employer', 'utiliser', 'consommer', 'prendre', 'boire', 'appel', 'application', 'coutume', 'emploi', 'exercice', 'exploitation', 'grâce', 'habitude', 'toxicomane', 'travail', 'travers', 'usage', 'utilisateur', 'utilisation']	<p> <img src="https://static.arasaac.org/pictograms/8095/8095_500.png" width="110"  heigth="110"> <p>	fre-30-00486018-v	['implémenter', 'réaliser', 'rédiger', 'réviser', 'achever', 'finir', 'terminer', 'adhérer', 'application', 'exécution', 'mise', 'mise en œuvre', 'suivi', '\x9cuvre']	<p> <img src="http://webservices.ccl.kuleuven.be/picto/sclera//handen.png" width="110"  heigth="110"> <p>	fre-30-00486018-v	['implémenter', 'réaliser', 'rédiger', 'réviser', 'achever', 'finir', 'terminer', 'adhérer', 'application', 'exécution', 'mise', 'mise en œuvre', 'suivi', '\x9cuvre']	<p> <img src="http://webservices.ccl.kuleuven.be/picto/beta//doen.png" width="110"  heigth="110"> <p>
chambre	nous allons vous installer dans une chambre	[5988, 15732, 32422, 33068]	[5988, 15732, 32422, 33068]	fre-30-02821627-n	fre-30-02821627-n	['Chambre à Coucher', 'chambre à coucher', 'dortoir', 'piaule', 'pièce', 'salle', 'slaapkamer', 'local', 'boudoir', 'hotel room']	<p> <img src="https://static.arasaac.org/pictograms/5988/5988_500.png" width="110"  heigth="110"> | <img src="https://static.arasaac.org/pictograms/15732/15732_500.png" width="110"  heigth="110"> | <img src="https://static.arasaac.org/pictograms/32422/32422_500.png" width="110"  heigth="110"> | <img src="https://static.arasaac.org/pictograms/33068/33068_500.png" width="110"  heigth="110"> <p>	fre-30-02821627-n	['Chambre à Coucher', 'chambre à coucher', 'dortoir', 'piaule', 'pièce', 'salle', 'slaapkamer', 'local', 'boudoir', 'hotel room']	<p> <img src="http://webservices.ccl.kuleuven.be/picto/sclera//slaapkamer.png" width="110"  heigth="110"> <p>	fre-30-02821627-n	['Chambre à Coucher', 'chambre à coucher', 'dortoir', 'piaule', 'pièce', 'salle', 'slaapkamer', 'local', 'boudoir', 'hotel room']	<p> <img src="http://webservices.ccl.kuleuven.be/picto/beta//slaapkamer.png" width="110"  heigth="110"> | <img src="http://webservices.ccl.kuleuven.be/picto/beta//slaapzaal.png" width="110"  heigth="110"> <p>
penser	avez-vous pensé à arrêter de boire ?	[8661, 8662, 31847, 34403]	[8661, 8662, 31847, 34403]	fre-30-00628491-v_fre-30-00608808-v_fre-30-00708538-v_fre-30-01637166-v	fre-30-01637166-v	['croire', 'réfléchir', 'voir', 'contempler', 'envisager', 'imaginer', 'prévoir', 'idée', 'pensée']	<p> <img src="https://static.arasaac.org/pictograms/8661/8661_500.png" width="110"  heigth="110"> | <img src="https://static.arasaac.org/pictograms/8662/8662_500.png" width="110"  heigth="110"> | <img src="https://static.arasaac.org/pictograms/31847/31847_500.png" width="110"  heigth="110"> | <img src="https://static.arasaac.org/pictograms/34403/34403_500.png" width="110"  heigth="110"> <p>	fre-30-00708538-v	["avoir l'intention", 'concevoir', 'croire', 'entendre', 'envisager', 'prévoir', 'réfléchir', 'signifier', 'trouver', 'voir', "être d'avis", 'chercher', 'planifier', 'proposer', 'viser', 'but', 'conception', 'dessein', 'effet', 'fin', 'intention', 'objectif', 'projet', 'propos', 'vue']	<p> <img src="http://webservices.ccl.kuleuven.be/picto/sclera//gedachten-leeg.png" width="110"  heigth="110"> <p>	fre-30-00708538-v	["avoir l'intention", 'concevoir', 'croire', 'entendre', 'envisager', 'prévoir', 'réfléchir', 'signifier', 'trouver', 'voir', "être d'avis", 'chercher', 'planifier', 'proposer', 'viser', 'but', 'conception', 'dessein', 'effet', 'fin', 'intention', 'objectif', 'projet', 'propos', 'vue']	<p> <img src="http://webservices.ccl.kuleuven.be/picto/beta//denken.png" width="110"  heigth="110"> <p>
boire	avez-vous pensé à arrêter de boire ?	[24896, 24929, 24930, 26053]	[24896, 24929, 24930, 26053]	fre-30-01171183-v	fre-30-01171183-v	['consommer', 'prendre', 'marcher', 'porter', 'retenir', 'tenir', 'alcoolique', 'boire', 'boisson', 'buveur', 'eau-de-vie', 'esprit', 'ivresse', 'presse-agrumes', 'soûlographie', 'spiritueux']	<p> <img src="https://static.arasaac.org/pictograms/24896/24896_500.png" width="110"  heigth="110"> | <img src="https://static.arasaac.org/pictograms/24929/24929_500.png" width="110"  heigth="110"> | <img src="https://static.arasaac.org/pictograms/24930/24930_500.png" width="110"  heigth="110"> | <img src="https://static.arasaac.org/pictograms/26053/26053_500.png" width="110"  heigth="110"> <p>	fre-30-01170052-v	['consommer', 'prendre', 'bouffer', 'lamper', 'lécher', 'siffler du vin', 'sucer', 'tuer', 'aronde', 'boire', 'boisson', 'breuvage', 'buveur', 'consommation', 'hirondelle', 'presse-agrumes', 'spiritueux']	<p> <img src="http://webservices.ccl.kuleuven.be/picto/sclera//drinken.png" width="110"  heigth="110"> <p>	fre-30-01171183-v	['consommer', 'prendre', 'marcher', 'porter', 'retenir', 'tenir', 'alcoolique', 'boire', 'boisson', 'buveur', 'eau-de-vie', 'esprit', 'ivresse', 'presse-agrumes', 'soûlographie', 'spiritueux']	<p> <img src="http://webservices.ccl.kuleuven.be/picto/beta//drinken.png" width="110"  heigth="110"> <p>
mesurer	nous allons vous mesurer	[33100]	[5510, 29830, 29831, 33100, 34031, 37382]	fre-30-00647094-v	fre-30-00647094-v	['tailler', 'décider', 'se décider', 'calibrer', 'étalonner', 'tirer', 'trianguler', 'mesure', 'mesureur', 'métreuse', 'nombre', 'quantité', 'somme', 'volume']	<p> <img src="https://static.arasaac.org/pictograms/5510/5510_500.png" width="110"  heigth="110"> | <img src="https://static.arasaac.org/pictograms/29830/29830_500.png" width="110"  heigth="110"> | <img src="https://static.arasaac.org/pictograms/29831/29831_500.png" width="110"  heigth="110"> | <img src="https://static.arasaac.org/pictograms/33100/33100_500.png" width="110"  heigth="110"> | <img src="https://static.arasaac.org/pictograms/34031/34031_500.png" width="110"  heigth="110"> | <img src="https://static.arasaac.org/pictograms/37382/37382_500.png" width="110"  heigth="110"> <p>	fre-30-00647094-v	['tailler', 'décider', 'se décider', 'calibrer', 'étalonner', 'tirer', 'trianguler', 'mesure', 'mesureur', 'métreuse', 'nombre', 'quantité', 'somme', 'volume']	<p> <img src="http://webservices.ccl.kuleuven.be/picto/sclera//meten.png" width="110"  heigth="110"> | <img src="http://webservices.ccl.kuleuven.be/picto/sclera//meten-dokter-2.png" width="110"  heigth="110"> <p>	fre-30-01928838-v	['aller', 'circuler', 'déplacer', 'marcher', 'voyager', 'disposition', 'enjambée', 'étape', 'mesure', 'pas']	<p> <img src="http://webservices.ccl.kuleuven.be/picto/beta//stappen.png" width="110"  heigth="110"> <p>
prévoir	nous allons prévoir une consultation chez le dentiste	[8661, 8662, 31847, 34403]	[34286]	fre-30-00708538-v	fre-30-00879764-v	['déposer', 'envisager', 'offrir', 'proposer', 'présenter', 'suggérer', 'demander', 'réclamer', 'offre', 'propos', 'proposition']	<p> <img src="https://static.arasaac.org/pictograms/34286/34286_500.png" width="110"  heigth="110"> <p>	fre-30-00708538-v	["avoir l'intention", 'concevoir', 'croire', 'entendre', 'envisager', 'penser', 'réfléchir', 'signifier', 'trouver', 'voir', "être d'avis", 'chercher', 'planifier', 'proposer', 'viser', 'but', 'conception', 'dessein', 'effet', 'fin', 'intention', 'objectif', 'projet', 'propos', 'vue']	<p> <img src="http://webservices.ccl.kuleuven.be/picto/sclera//gedachten-leeg.png" width="110"  heigth="110"> <p>	fre-30-00879764-v	['déposer', 'envisager', 'offrir', 'proposer', 'présenter', 'suggérer', 'demander', 'réclamer', 'offre', 'propos', 'proposition']	<p> <img src="http://webservices.ccl.kuleuven.be/picto/beta//bespreken.png" width="110"  heigth="110"> <p>
corps	avez-vous observé des grains de beauté sur le corps ?	[6473, 17018, 17022]	[6473]	fre-30-05216365-n_fre-30-05217168-n	fre-30-05216365-n	['anatomie', 'corps', 'corps humain', 'Corps humain', 'forme', 'physique', 'charnel', 'corporel']	<p> <img src="https://static.arasaac.org/pictograms/6473/6473_500.png" width="110"  heigth="110"> <p>	fre-30-07965085-n	['groupe', 'organe', 'organisation', 'organisme', 'académie', 'administration', 'anonyme', 'aristote', 'chrétienté', 'Chrétienté', 'christianisme', 'Christianisme', 'circonscription', 'collège électoral', 'colonie', 'diaspora', 'école', 'Église', 'enregistrement', 'établissement', 'faculté', 'gérance', 'immigration', 'jury', 'milice', 'opposition', 'ouléma', 'personnel', 'profession', 'public', 'rang', 'recommandation', 'représentation', 'uléma', 'université', 'vocation', 'voix', 'vote']	<p> <img src="http://webservices.ccl.kuleuven.be/picto/sclera//groep.png" width="110"  heigth="110"> <p>	fre-30-05216365-n	['anatomie', 'corps', 'corps humain', 'Corps humain', 'forme', 'physique', 'charnel', 'corporel']	<p> <img src="http://webservices.ccl.kuleuven.be/picto/beta//lichaam.png" width="110"  heigth="110"> <p>
protéger	vous protégez-vous la peau du soleil ?	[6192, 6599]	[6192, 6599]	fre-30-01128193-v	fre-30-01128193-v	['assurer', 'préserver', 'sauvegarder', 'défendre', 'protéger', 'affilier', 'conserver', 'continuer', 'couvrir', 'empêcher', 'encourir', 'entourer', 'garder', 'immuniser', 'maintenir', 'rester', 'retenir', 'surveiller', 'tenir', 'conservatoire', 'défenseur', 'gardien', 'protecteur', 'protection', 'tuteur']	<p> <img src="https://static.arasaac.org/pictograms/6192/6192_500.png" width="110"  heigth="110"> | <img src="https://static.arasaac.org/pictograms/6599/6599_500.png" width="110"  heigth="110"> <p>	[]	None	<p>  <p>	[]	None	<p>  <p>
utiliser	utilisez-vous de la crème solaire ?	[15485]	[8095]	fre-30-01158872-v	fre-30-01165043-v	['appliquer', 'employer', 'consommer', 'prendre', 'boire', 'appel', 'application', 'coutume', 'emploi', 'exercice', 'exploitation', 'grâce', 'habitude', 'toxicomane', 'travail', 'travers', 'usage', 'utilisateur', 'utilisation']	<p> <img src="https://static.arasaac.org/pictograms/8095/8095_500.png" width="110"  heigth="110"> <p>	[]	None	<p>  <p>	[]	None	<p>  <p>
laver	il faut vous laver tout le corps avec la lotion pendant deux jours	[4939, 6546, 8976, 8977, 21824, 21826, 28621, 31991, 34611, 34775, 34777]	[10170, 27869, 29750, 29834, 29835, 36555, 37402]	fre-30-00036362-v	fre-30-00035758-v	['nettoyer', 'assainir', 'baigner', 'décontaminer', 'doucher', 'laver', 'savonner', 'lavage', 'nettoyage']	<p> <img src="https://static.arasaac.org/pictograms/10170/10170_500.png" width="110"  heigth="110"> | <img src="https://static.arasaac.org/pictograms/27869/27869_500.png" width="110"  heigth="110"> | <img src="https://static.arasaac.org/pictograms/29750/29750_500.png" width="110"  heigth="110"> | <img src="https://static.arasaac.org/pictograms/29834/29834_500.png" width="110"  heigth="110"> | <img src="https://static.arasaac.org/pictograms/29835/29835_500.png" width="110"  heigth="110"> | <img src="https://static.arasaac.org/pictograms/36555/36555_500.png" width="110"  heigth="110"> | <img src="https://static.arasaac.org/pictograms/37402/37402_500.png" width="110"  heigth="110"> <p>	fre-30-01270199-v	['rincer', 'faciliter', 'servir', 'lavable', 'lavage', 'lave-linge', 'lessivable', 'lessive', 'linge', 'machine à laver']	<p> <img src="http://webservices.ccl.kuleuven.be/picto/sclera//mond-spoelen.png" width="110"  heigth="110"> <p>	fre-30-00036362-v	['laver', 'nettoyer', 'rincer', 'shampouiner', 'lavage']	<p> <img src="http://webservices.ccl.kuleuven.be/picto/beta//wassen_mens.png" width="110"  heigth="110"> <p>
